CashIn_id;Date;Amount;SUM
55;2018/1/24;49.86 ;11501.14 
56;2018/1/25;129.50 ;11630.64 
57;2018/1/26;133.98 ;11764.62 
58;2018/1/27;357.79 ;12122.40 
59;2018/1/28;588.83 ;12711.23 
60;2018/1/29;271.41 ;12982.64 
61;2018/1/30;338.72 ;13321.36 
62;2018/1/31;53.33 ;13374.68 
63;2018/2/1;123.63 ;13498.31 
64;2018/2/2;185.81 ;13684.12 
65;2018/2/3;531.49 ;14215.61 
66;2018/2/4;482.58 ;14698.19 
67;2018/2/5;549.60 ;15247.78 
68;2018/2/6;449.33 ;15697.11 
69;2018/2/7;384.60 ;16081.71 
70;2018/2/8;339.83 ;16421.54 
71;2018/2/9;230.30 ;16651.84 
72;2018/2/10;326.00 ;16977.84 
73;2018/2/11;343.23 ;17321.07 
74;2018/2/12;316.99 ;17638.06 
75;2018/2/13;39.56 ;17677.62 
76;2018/2/14;447.23 ;18124.85 
77;2018/2/15;402.47 ;18527.31 
78;2018/2/16;458.59 ;18985.90 
79;2018/2/17;533.53 ;19519.43 
80;2018/2/18;413.97 ;19933.40 
81;2018/2/19;19.83 ;19953.23 
82;2018/2/20;526.42 ;20479.64 
83;2018/2/21;530.61 ;21010.25 
84;2018/2/22;296.87 ;21307.12 
85;2018/2/23;96.97 ;21404.09 
86;2018/2/24;565.86 ;21969.96 
87;2018/2/25;325.23 ;22295.19 
88;2018/2/26;156.73 ;22451.92 
89;2018/2/27;143.35 ;22595.27 
90;2018/2/28;183.29 ;22778.56 
91;2018/3/1;171.40 ;22949.96 
92;2018/3/2;400.27 ;23350.23 
93;2018/3/3;229.49 ;23579.72 
94;2018/3/4;577.65 ;24157.37 
95;2018/3/5;163.63 ;24321.00 
96;2018/3/6;466.64 ;24787.64 
97;2018/3/7;471.80 ;25259.44 
98;2018/3/8;638.83 ;25898.27 
99;2018/3/9;57.88 ;25956.15 
100;2018/3/10;723.26 ;26679.41 
101;2018/3/11;423.25 ;27102.66 
102;2018/3/12;774.52 ;27877.18 
103;2018/3/13;893.65 ;28770.82 
104;2018/3/14;641.69 ;29412.51 
105;2018/3/15;633.61 ;30046.12 
106;2018/3/16;807.36 ;30853.48 
107;2018/3/17;502.41 ;31355.89 
108;2018/3/18;19.23 ;31375.12 
109;2018/3/19;486.40 ;31861.52 
110;2018/3/20;662.87 ;32524.39 
111;2018/3/21;794.99 ;33319.38 
112;2018/3/22;847.20 ;34166.57 
113;2018/3/23;565.50 ;34732.07 
114;2018/3/24;560.74 ;35292.82 
115;2018/3/25;717.33 ;36010.15 
116;2018/3/26;203.84 ;36214.00 
117;2018/3/27;264.95 ;36478.94 
118;2018/3/28;706.65 ;37185.59 
119;2018/3/29;808.51 ;37994.11 
120;2018/3/30;714.75 ;38708.86 
121;2018/3/31;429.61 ;39138.47 
122;2018/4/1;607.64 ;39746.11 
123;2018/4/2;798.91 ;40545.03 
124;2018/4/3;53.32 ;40598.34 
125;2018/4/4;58.38 ;40656.72 
126;2018/4/5;394.05 ;41050.78 
127;2018/4/6;185.31 ;41236.09 
128;2018/4/7;633.77 ;41869.86 
129;2018/4/8;766.93 ;42636.79 
130;2018/4/9;482.71 ;43119.50 
131;2018/4/10;79.10 ;43198.60 
132;2018/4/11;614.08 ;43812.68 
133;2018/4/12;230.71 ;44043.39 
134;2018/4/13;874.12 ;44917.52 
135;2018/4/14;30.15 ;44947.67 
136;2018/4/15;595.99 ;45543.65 
137;2018/4/16;433.21 ;45976.86 
138;2018/4/17;273.03 ;46249.89 
139;2018/4/18;322.06 ;46571.96 
140;2018/4/19;320.83 ;46892.79 
141;2018/4/20;243.34 ;47136.13 
142;2018/4/21;484.52 ;47620.65 
143;2018/4/22;619.09 ;48239.74 
144;2018/4/23;448.45 ;48688.19 
145;2018/4/24;332.68 ;49020.87 
146;2018/4/25;497.73 ;49518.60 
147;2018/4/26;240.99 ;49759.59 
148;2018/4/27;778.99 ;50538.58 
149;2018/4/28;343.19 ;50881.77 
